room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,property_type,last_modified,latitude,longitude,location
7739955,1438,38614070,Shared room,,New York,Queens,Jackson Heights,6,5.0,4,1.0,,85.0,,"Room TO SHARE by DAY,week,month",House,2017-07-15 21:30:31.858764,40.749909,-73.87688,0101000020E61000000EA14ACD1E7852C0F0FCA204FD5F4440
7383173,1438,32628813,Shared room,,New York,Brooklyn,Cypress Hills,14,4.0,6,1.0,,90.0,,Spacious Room: Close to Manhattan,House,2017-07-15 21:30:30.332828,40.678527,-73.889584,0101000020E6100000DFC2BAF1EE7852C0FC3905F9D9564440
10250852,1438,35553123,Shared room,,New York,Brooklyn,Sheepshead Bay,3,4.5,6,1.0,,239.0,,COZY COUCH,Apartment,2017-07-15 21:30:23.607950,40.583041,-73.957976,0101000020E61000009696917A4F7D52C0139D6516A14A4440
2188359,1438,5029659,Shared room,,New York,Manhattan,Hell's Kitchen,35,5.0,2,1.0,,165.0,,1 Bdrm Apt 1 Block from Times Sq.,Apartment,2017-07-15 21:30:21.832749,40.758374,-73.991955,0101000020E6100000A306D3307C7F52C08011346612614440
19661354,1438,70038324,Shared room,,New York,Manhattan,Upper East Side,0,0.0,2,1.0,,159.0,,NYC Upper East / Midtown East Luxury 1BR,Apartment,2017-07-15 21:30:19.986579,40.76196,-73.959733,0101000020E610000016F9F5436C7D52C01A6EC0E787614440
19784887,1438,47733373,Shared room,,New York,Brooklyn,Williamsburg,0,0.0,2,1.0,,125.0,,Mansion WIlliamsburg Apartment - Girls Share only,Other,2017-07-15 21:30:17.668695,40.720139,-73.96176,0101000020E610000076A6D0798D7D52C07EC9C6832D5C4440
14911027,1438,539240,Shared room,,New York,Brooklyn,Bedford-Stuyvesant,1,0.0,2,1.0,,100.0,,Awesome room in an awesome brownstone in Brooklyn!,Apartment,2017-07-15 21:30:15.585111,40.681687,-73.930195,0101000020E6100000C6F99B50887B52C0DE8D058541574440
3120957,1438,8703,Shared room,,New York,Manhattan,Harlem,8,5.0,2,1.0,,110.0,,"Clean, Safe, Convenient, Comfy",Apartment,2017-07-15 21:30:14.729270,40.806989,-73.942271,0101000020E6100000083E062B4E7C52C0AA9D616A4B674440
19160115,1438,27120086,Shared room,,New York,Manhattan,Chelsea,1,0.0,2,1.0,,109.0,,Ideally Located Room with Beautiful City Views!,Apartment,2017-07-15 21:30:14.722161,40.747321,-73.994449,0101000020E61000008E226B0DA57F52C0984EEB36A85F4440
1472002,1438,3003563,Shared room,,New York,Manhattan,Theater District,12,4.5,2,1.0,,110.0,,AT MANHATTAN'S HEART BY CTRL PARK SHARED STUDIO,Apartment,2017-07-15 21:30:14.712722,40.760353,-73.980258,0101000020E61000001DE90C8CBC7E52C02F35423F53614440
15144508,1438,47666490,Shared room,,New York,Manhattan,Hell's Kitchen,10,5.0,2,1.0,,105.0,,CLEAN SAFE QUIET CONVENIENT 1Br apt to share,Condominium,2017-07-15 21:30:13.696514,40.765339,-73.985157,0101000020E61000003B1BF2CF0C7F52C03AADDBA0F6614440
16274130,1438,28230496,Shared room,,New York,Manhattan,East Village,22,4.5,2,1.0,,117.0,,Save money at a luxury place !,Apartment,2017-07-15 21:30:13.688376,40.722735,-73.985,0101000020E6100000D7A3703D0A7F52C058569A94825C4440
10849426,1438,56193545,Shared room,,New York,Manhattan,Upper East Side,0,0.0,2,1.0,,80.0,,Charming Loft on Upper East Side,Apartment,2017-07-15 21:30:12.736884,40.775157,-73.955498,0101000020E61000002E5915E1267D52C0FB21365838634440
4987370,1438,25711730,Shared room,,New York,Brooklyn,Williamsburg,0,0.0,2,1.0,,85.0,,1 Bedroom in a Williamsburg Loft,Apartment,2017-07-15 21:30:12.721622,40.711599,-73.967744,0101000020E61000009DB98784EF7D52C0E36E10AD155B4440
4809056,1438,5715779,Shared room,,New York,Brooklyn,Bushwick,0,0.0,2,1.0,,95.0,,Entire Basement + Yard Access. ,Apartment,2017-07-15 21:30:10.813831,40.704684,-73.928627,0101000020E6100000B0CBF09F6E7B52C0DA01D715335A4440
